SOURCE;FAMILLE;EXISTE;FONCTIONNE;METHODE_ACTUELLE;COUVERTURE;PROBLEMES;VALEUR_AJOUTEE_POTENTIELLE;METHODE_RECOMMANDEE;PRIORITE;ACTION
FOREM;service public;OUI;OUI;absorption complete du catalogue (V1.0) + detail par budget;"345 actives / 953 vues ; 566 avec description -> open data complet : 26 198";;;;;
ADZUNA;agregateur API;OUI;INCONNU (jamais collectee);registry;-;cles API absentes;;;;
CAREERJET;agregateur API;OUI;INCONNU (jamais collectee);registry;-;cles API absentes;;;;
JOOBLE;agregateur API;OUI;INCONNU (jamais collectee);registry;-;cles API absentes;;;;
PROTHYA;employeur direct;OUI;OUI;registry;"1 actives / 1 vues ; 1 avec description";;;;;
START_PEOPLE_STUDENT;etudiant;OUI;OUI;registry;"18 actives / 18 vues ; 18 avec description";;;;;
SYNERGIE_STUDENT;etudiant;OUI;OUI;registry;"19 actives / 19 vues ; 19 avec description";;;;;
VDAB_STUDENT_WEB;etudiant;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
STUDENT_BE;etudiant;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
STUDENTJOB_BE;etudiant;OUI;OUI;registry;"1 actives / 1 vues ; 1 avec description";;;;;
RANDSTAD_STUDENT;etudiant;OUI;OUI;registry;"19 actives / 19 vues ; 19 avec description";;;;;
AIR_LIQUIDE;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
BMS;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
GALDERMA;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
AMGEN_WORKDAY;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
BEIGENE;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
ELANCO;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
REMOTIVE;agregateur;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
EUROPHARMAJOBS;job board;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
ICTJOB;job board;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
REFERENCES;job board;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
SWDE;public / parapublic;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
ARBEITNOW;agregateur;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
ACTIRIS;service public;OUI;OUI;absorption complete du catalogue (V1.0) + detail par budget;"4418 actives / 8448 vues ; 5832 avec description -> catalogue complet : 33 208";;;;;
TALENT_BRUSSELS;public;OUI;OUI;registry;"7 actives / 8 vues ; 8 avec description";;;;;
TRAVAILLERPOUR;public;OUI;OUI;registry;"101 actives / 125 vues ; 125 avec description";;;;;
SMARTRECRUITERS;ATS;OUI;OUI;registry;"258 actives / 274 vues ; 274 avec description";;;;;
JOBAT;job board;OUI;NON (rien au dernier run);registry;"901 actives / 1262 vues ; 51 avec description";HTTP 403 : cache seulement;;;;
SCIENCEATWORK;employeur direct;OUI;NON (rien au dernier run);registry;"2 actives / 2 vues ; 2 avec description";aucune offre au dernier run;;;;
RANDSTAD;interim / recrutement;OUI;OUI;registry;"11 actives / 15 vues ; 15 avec description";;;;;
JEFFERSON_WELLS;interim / recrutement;OUI;OUI;registry;"34 actives / 34 vues ; 34 avec description";;;;;
AKKODIS;interim / recrutement;OUI;OUI;registry;"24 actives / 24 vues ; 24 avec description";;;;;
GSK;employeur direct;OUI;NON (rien au dernier run);registry;"2 actives / 2 vues ; 2 avec description";aucune offre au dernier run;;;;
UCB;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
IBA;employeur direct;OUI;OUI;registry;"1 actives / 1 vues ; 1 avec description";;;;;
PFIZER;employeur direct;OUI;NON (rien au dernier run);registry;"1 actives / 1 vues ; 1 avec description";aucune offre au dernier run;;;;
TAKEDA;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
JNJ;employeur direct;OUI;NON (rien au dernier run);registry;"1 actives / 2 vues ; 2 avec description";aucune offre au dernier run;;;;
QUALITY_ASSISTANCE;employeur direct;OUI;OUI;registry;"5 actives / 5 vues ; 5 avec description";;;;;
THERMO_FISHER;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
SCIENSANO;academique / recherche;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
SANOFI;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
BAXTER;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
NOVARTIS;employeur direct;OUI;OUI;registry;"1 actives / 1 vues ; 1 avec description";;;;;
AGFA;employeur direct;OUI;OUI;agfa;"1 actives / 1 vues ; 1 avec description";;;;;
UMICORE;employeur direct;OUI;OUI;umicore;"2 actives / 2 vues ; 2 avec description";;;;;
SYENSQO;employeur direct;OUI;INCONNU (jamais collectee);syensqo;-;declaree mais jamais une offre en base;;;;
SOLVAY;employeur direct;OUI;INCONNU (jamais collectee);solvay;-;declaree mais jamais une offre en base;;;;
ASTRAZENECA;employeur direct;OUI;INCONNU (jamais collectee);astrazeneca;-;declaree mais jamais une offre en base;;;;
AMGEN;employeur direct;OUI;INCONNU (jamais collectee);amgen;-;declaree mais jamais une offre en base;;;;
LONZA;employeur direct;OUI;INCONNU (jamais collectee);lonza;-;declaree mais jamais une offre en base;;;;
ROCHE;employeur direct;OUI;INCONNU (jamais collectee);roche;-;declaree mais jamais une offre en base;;;;
BIOWIN;employeur direct;OUI;OUI;biowin;"3 actives / 3 vues ; 3 avec description";;;;;
BIOPARK;employeur direct;OUI;NON (rien au dernier run);biopark;"1 actives / 1 vues ; 1 avec description";aucune offre au dernier run;;;;
EUROGENTEC;employeur direct;OUI;OUI;eurogentec;"3 actives / 4 vues ; 4 avec description";;;;;
TRASIS;employeur direct;OUI;OUI;trasis;"1 actives / 1 vues ; 0 avec description";;;;;
QUANTOOM;employeur direct;OUI;INCONNU (jamais collectee);quantoom;-;declaree mais jamais une offre en base;;;;
HYLORIS;employeur direct;OUI;OUI;hyloris;"1 actives / 1 vues ; 1 avec description";;;;;
EYED_PHARMA;employeur direct;OUI;INCONNU (jamais collectee);eyed_pharma;-;declaree mais jamais une offre en base;;;;
NSIDE;employeur direct;OUI;OUI;nside;"1 actives / 1 vues ; 1 avec description";;;;;
IRE;employeur direct;OUI;OUI;ire;"2 actives / 2 vues ; 2 avec description";;;;;
NOVADIP;employeur direct;OUI;INCONNU (jamais collectee);novadip;-;declaree mais jamais une offre en base;;;;
CER_GROUPE;employeur direct;OUI;INCONNU (jamais collectee);cer_groupe;-;declaree mais jamais une offre en base;;;;
KIOMED;employeur direct;OUI;INCONNU (jamais collectee);kiomed;-;declaree mais jamais une offre en base;;;;
CERBA;employeur direct;OUI;OUI;cerba;"1 actives / 1 vues ; 1 avec description";;;;;
MSD;employeur direct;OUI;INCONNU (jamais collectee);msd;-;declaree mais jamais une offre en base;;;;
PAUWELS;employeur direct;OUI;OUI;mega5_sources;"2 actives / 6 vues ; 6 avec description";;;;;
ICON;employeur direct;OUI;INCONNU (jamais collectee);mega5_sources;-;declaree mais jamais une offre en base;;;;
TMC;employeur direct;OUI;INCONNU (jamais collectee);mega5_sources;-;declaree mais jamais une offre en base;;;;
QBD_GROUP;employeur direct;OUI;INCONNU (jamais collectee);mega5_sources;-;declaree mais jamais une offre en base;;;;
SOPRA_STERIA;employeur direct;OUI;INCONNU (jamais collectee);mega5_sources;-;declaree mais jamais une offre en base;;;;
LILLY;employeur direct;OUI;INCONNU (jamais collectee);mega5_sources;-;declaree mais jamais une offre en base;;;;
THALES;employeur direct;OUI;INCONNU (jamais collectee);mega5_sources;-;declaree mais jamais une offre en base;;;;
ODOO;employeur direct;OUI;OUI;mega5_hold_sources;"1 actives / 1 vues ; 1 avec description";;;;;
KEYRUS;employeur direct;OUI;OUI;mega56_sources;"2 actives / 2 vues ; 2 avec description";;;;;
MEDPACE;employeur direct;OUI;OUI;mega58_sources;"2 actives / 2 vues ; 2 avec description";;;;;
UNIVERCELLS_TECH;employeur direct;OUI;INCONNU (jamais collectee);mega59_sources;-;declaree mais jamais une offre en base;;;;
LHOIST;employeur direct;OUI;INCONNU (jamais collectee);mega59_sources;-;declaree mais jamais une offre en base;;;;
PAREXEL;employeur direct;OUI;INCONNU (jamais collectee);mega510_sources;-;declaree mais jamais une offre en base;;;;
POLYPEPTIDE;employeur direct;OUI;INCONNU (jamais collectee);mega510_sources;-;declaree mais jamais une offre en base;;;;
JOHN_COCKERILL;employeur direct;OUI;NON (rien au dernier run);mega510_sources;"1 actives / 1 vues ; 1 avec description";aucune offre au dernier run;;;;
AMARIS;employeur direct;OUI;NON (rien au dernier run);mega512_sources;"2 actives / 2 vues ; 2 avec description";aucune offre au dernier run;;;;
NRB;employeur direct;OUI;OUI;mega512_sources;"4 actives / 4 vues ; 4 avec description";;;;;
IQVIA;employeur direct;OUI;INCONNU (jamais collectee);mega512_sources;-;declaree mais jamais une offre en base;;;;
CAPGEMINI_ENG;employeur direct;OUI;OUI;mega512_sources;"1 actives / 1 vues ; 1 avec description";;;;;
ABBVIE;employeur direct;OUI;INCONNU (jamais collectee);mega513_sources;-;declaree mais jamais une offre en base;;;;
CSL;employeur direct;OUI;INCONNU (jamais collectee);mega513_sources;-;declaree mais jamais une offre en base;;;;
BOEHRINGER;employeur direct;OUI;INCONNU (jamais collectee);mega513_sources;-;declaree mais jamais une offre en base;;;;
EXPERIS;interim / recrutement;OUI;INCONNU (jamais collectee);mega64_staffing;-;declaree mais jamais une offre en base;;;;
SYNERGIE;interim / recrutement;OUI;OUI;mega64_staffing;"1 actives / 1 vues ; 1 avec description";;;;;
ADECCO;interim / recrutement;OUI;OUI;adecco_api;"29 actives / 37 vues ; 37 avec description";;;;;
MANPOWER;interim / recrutement;OUI;OUI;mega65_staffing;"14 actives / 15 vues ; 15 avec description";;;;;
VIVALDIS;interim / recrutement;OUI;INCONNU (jamais collectee);mega65_staffing;-;declaree mais jamais une offre en base;;;;
SELECT_HR;interim / recrutement;OUI;INCONNU (jamais collectee);mega65_staffing;-;declaree mais jamais une offre en base;;;;
AGILITAS;interim / recrutement;OUI;OUI;mega65_staffing;"10 actives / 10 vues ; 5 avec description";;;;;
AGO;interim / recrutement;OUI;OUI;mega65_staffing;"1 actives / 1 vues ; 1 avec description";;;;;
LETS_WORK;interim / recrutement;OUI;OUI;mega65_staffing;"1 actives / 1 vues ; 0 avec description";;;;;
OXFORD_GLOBAL;interim / recrutement;OUI;OUI;oxford_belgium;"4 actives / 7 vues ; 7 avec description";;;;;
BRUNEL;interim / recrutement;OUI;INCONNU (jamais collectee);mega65_staffing;-;declaree mais jamais une offre en base;;;;
AUSTIN_BRIGHT;interim / recrutement;OUI;INCONNU (jamais collectee);mega65_staffing;-;declaree mais jamais une offre en base;;;;
PROGRESSIVE;interim / recrutement;OUI;INCONNU (jamais collectee);mega65_staffing;-;declaree mais jamais une offre en base;;;;
START_PEOPLE;interim / recrutement;OUI;OUI;mega67_high_value;"9 actives / 11 vues ; 11 avec description";;;;;
TEMPO_TEAM;interim / recrutement;OUI;OUI;mega67_high_value;"1 actives / 1 vues ; 1 avec description";;;;;
QJOBS;interim / recrutement;OUI;OUI;mega67_high_value;"1 actives / 2 vues ; 2 avec description";;;;;
MICHAEL_PAGE;interim / recrutement;OUI;OUI;mega67_high_value;"3 actives / 4 vues ; 4 avec description";;;;;
ROBERT_HALF;interim / recrutement;OUI;INCONNU (jamais collectee);mega67_high_value;-;declaree mais jamais une offre en base;;;;
ALEXION;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
ASTELLAS;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
BEPHARBEL;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
CERES_PHARMA;employeur direct;OUI;INCONNU (jamais collectee);registry;-;declaree mais jamais une offre en base;;;;
