200 | document | text/html; charset=utf-8 | https://www.actiris.brussels/fr/citoyens/offres-d-emploi/?keywords=data+analyst
200 | stylesheet | text/css; charset=utf-8 | https://fonts.googleapis.com/css?family=Poppins:300,400,600&display=swap
200 | image | image/webp | https://www.actiris.brussels/media/1rjfavvx/synerjob.70h-h-6652CEB8.png
200 | document | text/html | https://api.actiris.brussels/security/html/authentication.html
200 | fetch | application/json; charset=utf-8 | https://www.actiris.brussels/Umbraco/Api/AboutTimeApi/AboutTime
200 | image | image/webp | https://www.actiris.brussels/media/pynmlxcm/offre-d-emploi.offerSearchPageImage-h-AEF09472.jpg
200 | fetch | application/json; charset=utf-8 | https://www.actiris.brussels/Umbraco/api/ReferenceApi/GetRegimesTravail
200 | script | application/javascript | https://api.actiris.brussels/security/js/url.js?refresh=230630
200 | fetch | application/json; charset=utf-8 | https://www.actiris.brussels/Umbraco/api/OffersApi/GetAllOffers
200 | fetch | application/json; charset=utf-8 | https://www.actiris.brussels/Umbraco/api/ReferenceApi/GetSectorsPanorama
200 | fetch | application/json; charset=utf-8 | https://www.actiris.brussels/Umbraco/api/ReferenceApi/GetContractsHierarchy
200 | script | application/javascript | https://api.actiris.brussels/security/js/auth.js?refresh=230630
200 | fetch | application/json; charset=utf-8 | https://www.actiris.brussels/Umbraco/api/ReferenceApi/GetAllDomain
200 | fetch | application/json; charset=utf-8 | https://www.actiris.brussels/fr/cookies/?t=637278918725530000
204 | fetch |  | https://ad.doubleclick.net/ccm/s/collect?auid=722238647.1786636832&gtm=45He68b1h1v813084039za200zd813084039xea&fmt=8
200 | fetch |  | https://www.google.com/ccm/collect?rcb=13&frm=0&apvc=1&ae=g&auid=722238647.1786636832&dt=Trouvez%20un%20emploi%20data%20analyst%20avec%20Actiris&en=page_view&dl=https%3A%2F%2Fwww.actiris.brussels%2Ffr%2Fcitoyens%2Foffres-d-emploi%2F%3Flocalisation%3DTout%26keywords%3Ddata%2520analyst%26page%3D1%26keywordSearchType%3DPartout&scrsrc=www.googletagmanager.com&rnd=1384561881.1786636832&navt=n&npa=1&ep.ads_data_redaction=0&gtm=45He68b1h1v813084039za200zd813084039xea&gcd=13l3l3l2l1l1&dma_cps=a&dma=1&tag_exp=115938466~115938468~118395334~118897920~118897930~119404700~119527020~119896802~120125304~120385422&tft=1786636831920&tfd=15243&fmt=8
200 | fetch |  | https://www.google.com/ccm/collect?rcb=6&frm=0&apvc=0&auid=722238647.1786636832&dt=Trouvez%20un%20emploi%20data%20analyst%20avec%20Actiris&tid=DC-8765843&en=page_view&dl=https%3A%2F%2Fwww.actiris.brussels%2Ffr%2Fcitoyens%2Foffres-d-emploi%2F%3Flocalisation%3DTout%26keywords%3Ddata%2520analyst%26page%3D1%26keywordSearchType%3DPartout&scrsrc=www.googletagmanager.com&rnd=1384561881.1786636832&navt=n&npa=0&gtm=45fe68b1h1v9190305556za200zb813084039zd813084039xec&gcs=G111&gcd=13v3v3v2v5l1&dma_cps=a&dma=1&tag_exp=115938466~115938468~118897920~118897930~119367802~119367810~119527019~119896803&tft=1786636833024&tfd=16347&tids=DC-8765843&fmt=8
